"","x"
"1",80
"2",80
"3",80
"4",80
"5",80
"6",80
"7",80
"8",80
"9",80
"10",80
"11",80
"12",80
"13",80
"14",80
"15",80
"16",80
"17",80
"18",80
"19",75.625
"20",71.25
"21",66.875
"22",62.5
"23",58.125
"24",53.75
"25",49.375
"26",45
"27",40.625
"28",36.25
"29",31.875
"30",27.5
"31",23.125
"32",18.75
"33",14.375
"34",10
"35",17
"36",24
"37",31
"38",38
"39",45
"40",52
"41",59
"42",66
"43",73
"44",80
"45",80
"46",80
"47",80
"48",80
"49",80
"50",80
"51",80
"52",80
"53",80
"54",80
"55",80
"56",80
"57",80
"58",80
"59",80
"60",80
"61",80
"62",80
"63",80
"64",80
"65",73
"66",66
"67",59
"68",52
"69",45
"70",38
"71",31
"72",24
"73",17
"74",10
"75",15.8333333333333
"76",21.6666666666667
"77",27.5
"78",33.3333333333333
"79",39.1666666666667
"80",45
"81",50.8333333333333
"82",56.6666666666667
"83",62.5
"84",68.3333333333333
"85",74.1666666666667
"86",80
"87",80
"88",80
"89",80
"90",80
"91",80
"92",80
"93",80
"94",80
"95",80
"96",80
"97",80
"98",80
"99",80
"100",80
"101",80
"102",80
"103",80
"104",75
"105",70
"106",65
"107",60
"108",55
"109",50
"110",45
"111",40
"112",35
"113",30
"114",25
"115",20
"116",15
"117",10
"118",15
"119",20
"120",25
"121",30
"122",35
"123",40
"124",45
"125",50
"126",55
"127",60
"128",65
"129",70
"130",75
"131",80
"132",80
"133",80
"134",80
"135",80
"136",80
"137",80
"138",80
"139",80
"140",80
"141",80
"142",80
"143",80
"144",80
"145",80
"146",80
"147",80
"148",80
"149",80
"150",80
"151",80
"152",80
"153",80
"154",71.25
"155",62.5
"156",53.75
"157",45
"158",36.25
"159",27.5
"160",18.75
"161",10
"162",15.8333333333333
"163",21.6666666666667
"164",27.5
"165",33.3333333333333
"166",39.1666666666667
"167",45
"168",50.8333333333333
"169",56.6666666666667
"170",62.5
"171",68.3333333333333
"172",74.1666666666667
"173",80
"174",80
"175",80
"176",80
"177",80
"178",80
"179",80
"180",80
"181",80
"182",80
"183",80
"184",80
"185",80
"186",80
"187",80
"188",80
"189",80
"190",80
"191",80
"192",80
"193",80
"194",80
"195",80
"196",73
"197",66
"198",59
"199",52
"200",45
"201",38
"202",31
"203",24
"204",17
"205",10
"206",14.375
"207",18.75
"208",23.125
"209",27.5
"210",31.875
"211",36.25
"212",40.625
"213",45
"214",49.375
"215",53.75
"216",58.125
"217",62.5
"218",66.875
"219",71.25
"220",75.625
"221",80
"222",80
"223",80
"224",80
"225",80
"226",80
"227",80
"228",80
"229",80
"230",80
"231",80
"232",80
"233",80
"234",80
"235",80
"236",80
"237",80
"238",74.6153846153846
"239",69.2307692307692
"240",63.8461538461538
"241",58.4615384615385
"242",53.0769230769231
"243",47.6923076923077
"244",42.3076923076923
"245",36.9230769230769
"246",31.5384615384615
"247",26.1538461538462
"248",20.7692307692308
"249",15.3846153846154
"250",10
"251",15
"252",20
"253",25
"254",30
"255",35
"256",40
"257",45
"258",50
"259",55
"260",60
"261",65
"262",70
"263",75
"264",80
"265",80
"266",80
"267",80
"268",80
"269",80
"270",80
"271",80
"272",80
"273",80
"274",80
"275",80
"276",80
"277",80
"278",80
"279",80
"280",80
"281",80
"282",80
"283",80
"284",80
"285",80
"286",68.3333333333333
"287",56.6666666666667
"288",45
"289",33.3333333333333
"290",21.6666666666667
"291",10
"292",14.375
"293",18.75
"294",23.125
"295",27.5
"296",31.875
"297",36.25
"298",40.625
"299",45
"300",49.375
